artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
Tiers,167,2.5108774753503784,0.8381514922131529,0,0.25149700598802394,6,"0,11,16","0.251,0.138,0.114",0.5176646706560943,generalist
Chiens de Paille,166,2.6342172542733056,0.8793233218895754,16,0.1746987951807229,8,"16,0,11","0.175,0.145,0.102",0.4656626506000814,generalist
Klub des Loosers,166,2.5970930523692144,0.8669309588497205,16,0.1746987951807229,5,"16,0,17","0.175,0.169,0.133",0.4765060240940034,generalist
Joe Lucazz,166,2.6351289083753247,0.879627639505027,0,0.21084337349397592,8,"0,16,18","0.211,0.151,0.072",0.45180722891340375,generalist
Doc Gynéco,165,2.6380131095142336,0.8805904094976496,16,0.18787878787878787,6,"16,0,17","0.188,0.127,0.115",0.46272727272495934,generalist
Lala &ce,165,2.368841453262657,0.7907387032461278,0,0.30303030303030304,8,"0,16,1","0.303,0.139,0.085",0.5809090909061864,moderate
Casseurs Flowters,164,2.541202821555382,0.8482743414653082,0,0.23170731707317074,6,"0,16,1","0.232,0.122,0.104",0.49999999999750033,generalist
Eddy de Pretto,164,2.2844202386162844,0.7625582094845076,17,0.25609756097560976,5,"17,16,0","0.256,0.207,0.159",0.6189024390212956,generalist
TTC,164,2.5885457064217623,0.8640777846782809,16,0.17682926829268292,5,"16,0,17","0.177,0.159,0.140",0.4823170731683199,generalist
Boostee,164,2.2862698943407,0.7631756397337807,16,0.2682926829268293,4,"16,17,0","0.268,0.177,0.152",0.6195121951188537,generalist
Faf Larage,162,2.70548675581932,0.9031136659651039,0,0.16049382716049382,7,"0,16,11","0.160,0.130,0.086",0.4203703703682684,generalist
Suprême NTM,162,2.853279620425699,0.9524481361749684,18,0.10493827160493827,10,"18,16,8","0.105,0.099,0.074",0.293209876541744,generalist
MRC,161,2.68169437673909,0.8951715747140709,0,0.17391304347826086,8,"0,16,2","0.174,0.124,0.093",0.43447204968726855,generalist
Hocus Pocus,161,2.6819234056130186,0.8952480264303844,0,0.19254658385093168,6,"0,16,17","0.193,0.093,0.093",0.42515527950098014,generalist
Gazo,160,2.244324025135891,0.7491737646079215,0,0.4,5,"0,16,14","0.400,0.106,0.062",0.599374999997003,moderate
Tunisiano,160,2.64477166566532,0.8828464709657422,0,0.1875,6,"0,16,8","0.188,0.131,0.094",0.4493749999977532,generalist
Wallen,160,2.0201976733139624,0.6743585503778341,16,0.31875,4,"16,0,17","0.319,0.219,0.188",0.7031249999964845,moderate
Senamo,159,2.5155907744013475,0.8397248300886958,0,0.2830188679245283,5,"0,16,1","0.283,0.132,0.088",0.495911949683055,generalist
Fayçal,159,2.6071788573410926,0.8702976832599472,16,0.20754716981132076,5,"16,0,11","0.208,0.145,0.119",0.4701257861611714,generalist
2zer,159,2.4151740411008786,0.8062049010259631,0,0.2578616352201258,7,"0,16,11","0.258,0.138,0.113",0.5745283018839197,generalist
Zesau,158,2.6817036987847755,0.895174686489368,16,0.14556962025316456,8,"16,0,17","0.146,0.139,0.095",0.42974683544088915,generalist
Nusky,158,2.579612660145413,0.8610958605740446,0,0.21518987341772153,6,"0,16,17","0.215,0.139,0.114",0.4879746835418638,generalist
Souffrance,156,2.7841460268170484,0.9293707756848623,0,0.16666666666666666,8,"0,18,11","0.167,0.083,0.083",0.3474358974341603,generalist
Rochdi,155,2.693874804375689,0.8992375013471438,0,0.16774193548387098,9,"0,11,18","0.168,0.097,0.084",0.40354838709475666,generalist
KaNoé (BEL),155,2.369191588100454,0.7908555811263336,0,0.3032258064516129,5,"0,16,17","0.303,0.103,0.103",0.5758064516100242,moderate
Nysay,154,2.702092034746607,0.901980480231959,0,0.14285714285714285,8,"0,16,1","0.143,0.123,0.117",0.4253246753225487,generalist
1995,154,2.5842772268466936,0.8626529311916225,0,0.22077922077922077,6,"0,16,17","0.221,0.143,0.078",0.4844155844131624,generalist
